step,epoch,train_loss,train_acc,val_loss,val_acc,val_auc,learning_rate
10,1,0.6795121788978576,,,,,0.0005
20,2,0.4681340530514717,,,,,0.001
30,2,0.34301693737506866,,,,,0.0015
40,3,0.11394851608201861,,,,,0.002
50,4,0.02737519145011902,1.0,0.04901258237659931,0.9803921568627451,0.9994836488812393,0.0025
50,4,0.02737519145011902,,,,,0.0025
60,4,0.048174845947263144,,,,,0.003
70,5,0.011269471685712537,,,,,0.0034999999999999996
80,5,0.03344029196887277,,,,,0.004
90,6,0.013341414742171764,,,,,0.0045000000000000005
100,7,0.007441180176101625,1.0,0.04487822367809713,0.9869281045751634,0.9989672977624785,0.005
100,7,0.007441180176101625,,,,,0.005
110,7,0.014396970492920705,,,,,0.0055000000000000005
120,8,0.020227318116667448,,,,,0.006
130,9,0.0012447104090824723,,,,,0.006500000000000001
140,9,0.003844578910502605,,,,,0.006999999999999999
150,10,0.004764391342177987,1.0,0.061407089268323035,0.9738562091503268,0.9987951807228916,0.0075
150,10,0.004764391342177987,,,,,0.0075
160,10,0.0037729271352873184,,,,,0.008
170,11,0.000731601934239734,,,,,0.0085
180,12,0.007538813792052679,,,,,0.009000000000000001
190,12,0.007164176949507757,,,,,0.0095
200,13,0.0005693579460057663,1.0,0.04993025838630274,0.9869281045751634,0.9987951807228915,0.01
200,13,0.0005693579460057663,,,,,0.01
210,14,0.00016358093853341416,,,,,0.009999238475781956
220,14,0.003497172097316555,,,,,0.009996954135095479
230,15,0.0009216559556080028,,,,,0.009993147673772868
240,15,0.0005927654078732303,,,,,0.009987820251299122
250,16,0.00041921109186660033,1.0,0.05473907756968401,0.9869281045751634,0.9989672977624785,0.009980973490458728
250,16,0.00041921109186660033,,,,,0.009980973490458728
260,17,0.00013156259228708223,,,,,0.009972609476841367
270,17,0.0002430496442684671,,,,,0.00996273075820661
280,18,0.00022407922142519965,,,,,0.009951340343707852
290,19,8.680717837705743e-05,,,,,0.009938441702975689
300,19,0.0003807145976679749,1.0,0.05594886480248533,0.9869281045751634,0.9991394148020654,0.00992403876506104
300,19,0.0003807145976679749,,,,,0.00992403876506104
310,20,0.0028229665452575623,,,,,0.00990813591723832
320,20,0.0017082508597923152,,,,,0.009890738003669028
330,21,0.00024723623209865764,,,,,0.009871850323926177
340,22,0.00012217702715133782,,,,,0.009851478631379982
350,22,0.0002329738508706214,1.0,0.062089786061551425,0.9869281045751634,0.9986230636833047,0.009829629131445342
350,22,0.0002329738508706214,,,,,0.009829629131445342
360,23,0.00023646417980671686,,,,,0.009806308479691595
370,24,0.00018855861708289012,,,,,0.009781523779815178
380,24,0.0016169989532196876,,,,,0.009755282581475769
390,25,0.0017915669426050347,,,,,0.009727592877996585
400,25,0.000895102963681893,1.0,0.06906798354320927,0.9869281045751634,0.9984509466437177,0.009698463103929543
400,25,0.000895102963681893,,,,,0.009698463103929543
410,26,0.0002177780119382078,,,,,0.009667902132486009
420,27,0.0028076347593923856,,,,,0.009635919272833937
430,27,0.0010223473495248722,,,,,0.009602524267262203
440,28,0.00015136333126974932,,,,,0.009567727288213004
450,29,1.4267647657106863e-05,1.0,0.06363888911728281,0.9803921568627451,0.9989672977624785,0.009531538935183251
450,29,1.4267647657106863e-05,,,,,0.009531538935183251
460,29,6.319107910712773e-05,,,,,0.009493970231495836
470,30,5.367863620146333e-05,,,,,0.00945503262094184
480,30,0.00018009751579484146,,,,,0.009414737964294635
490,31,4.069431888638064e-05,,,,,0.00937309853569698
500,32,8.605342191003729e-05,1.0,0.06396178411087021,0.9803921568627451,0.9991394148020654,0.009330127018922194
500,32,8.605342191003729e-05,,,,,0.009330127018922194
510,32,8.223921590147906e-05,,,,,0.009285836503510562
520,33,6.054155403489858e-05,,,,,0.00924024048078213
530,34,2.7040748136641923e-05,,,,,0.009193352839727121
540,34,0.00015308179198806707,,,,,0.009145187862775208
550,35,3.422934977000599e-05,1.0,0.06613479269581149,0.9803921568627451,0.9989672977624785,0.00909576022144496
550,35,3.422934977000599e-05,,,,,0.00909576022144496
560,35,0.0004992127593936857,,,,,0.009045084971874737
570,36,0.00010080910997203318,,,,,0.008993177550236464
580,37,0.00012855216209572973,,,,,0.008940053768033609
590,37,9.408636882264026e-05,,,,,0.008885729807284855
