step,epoch,train_loss,train_acc,val_loss,val_acc,val_auc,learning_rate
10,1,0.6918478310108185,,,,,0.0005
20,2,0.6682351231575012,,,,,0.001
30,2,0.6482781640120915,,,,,0.0015
40,3,0.575258232653141,,,,,0.002
50,4,0.47888508439064026,0.96875,0.4554563105106354,0.9803921568627451,0.9932874354561101,0.0025
50,4,0.47888508439064026,,,,,0.0025
60,4,0.4439914996425311,,,,,0.003
70,5,0.3342130035161972,,,,,0.0034999999999999996
80,5,0.31697405874729156,,,,,0.004
90,6,0.2375668466091156,,,,,0.0045000000000000005
100,7,0.24151132255792618,0.9375,0.16771583408117294,0.9738562091503268,0.9948364888123924,0.005
100,7,0.24151132255792618,,,,,0.005
110,7,0.16275167305554664,,,,,0.0055000000000000005
120,8,0.12171199033036828,,,,,0.006
130,9,0.0499624852091074,,,,,0.006500000000000001
140,9,0.07733319280669093,,,,,0.006999999999999999
150,10,0.051496281599005066,0.9895833333333334,0.09715267978608608,0.9673202614379085,0.9943201376936317,0.0075
150,10,0.051496281599005066,,,,,0.0075
160,10,0.05227049672976136,,,,,0.008
170,11,0.04718320118263364,,,,,0.0085
180,12,0.07795795891433954,,,,,0.009000000000000001
190,12,0.05005399137735367,,,,,0.0095
200,13,0.027193336747586727,0.9921875,0.07194082308560609,0.9803921568627451,0.9951807228915662,0.01
200,13,0.027193336747586727,,,,,0.01
210,14,0.009317706804722548,,,,,0.009999238475781956
220,14,0.0210764454677701,,,,,0.009996954135095479
230,15,0.028515657720466454,,,,,0.009993147673772868
240,15,0.024181180371670052,,,,,0.009987820251299122
250,16,0.021272546611726284,0.99375,0.0707137381657958,0.9738562091503268,0.9974182444061961,0.009980973490458728
250,16,0.021272546611726284,,,,,0.009980973490458728
260,17,0.012152613780926913,,,,,0.009972609476841367
270,17,0.00927351345308125,,,,,0.00996273075820661
280,18,0.0066886203130707145,,,,,0.009951340343707852
290,19,0.004028142895549536,,,,,0.009938441702975689
300,19,0.004609391461902608,1.0,0.06966900592669845,0.9803921568627451,0.9951807228915663,0.00992403876506104
300,19,0.004609391461902608,,,,,0.00992403876506104
310,20,0.005820280387221525,,,,,0.00990813591723832
320,20,0.027821961004519835,,,,,0.009890738003669028
330,21,0.0032527405070140957,,,,,0.009871850323926177
340,22,0.0037229996523819864,,,,,0.009851478631379982
350,22,0.0041316159435414845,1.0,0.08547809277661145,0.9803921568627451,0.9955249569707401,0.009829629131445342
350,22,0.0041316159435414845,,,,,0.009829629131445342
360,23,0.004625974441296421,,,,,0.009806308479691595
370,24,0.0014494812348857522,,,,,0.009781523779815178
380,24,0.007432343050216635,,,,,0.009755282581475769
390,25,0.03879707849894961,,,,,0.009727592877996585
400,25,0.018749141199805308,0.9959016393442623,0.07601890591904521,0.9869281045751634,0.9939759036144578,0.009698463103929543
400,25,0.018749141199805308,,,,,0.009698463103929543
410,26,0.006530290306545794,,,,,0.009667902132486009
420,27,0.0017079878016375005,,,,,0.009635919272833937
430,27,0.001772726694720664,,,,,0.009602524267262203
440,28,0.0018771015675156377,,,,,0.009567727288213004
450,29,0.001952284772414714,1.0,0.074896972021088,0.9803921568627451,0.9938037865748709,0.009531538935183251
450,29,0.001952284772414714,,,,,0.009531538935183251
460,29,0.001652354539449637,,,,,0.009493970231495836
470,30,0.001763819270612051,,,,,0.00945503262094184
480,30,0.004794292050064541,,,,,0.009414737964294635
490,31,0.0015998359420336782,,,,,0.00937309853569698
500,32,0.010541196112171747,1.0,0.1090312683954835,0.9803921568627451,0.9931153184165231,0.009330127018922194
500,32,0.010541196112171747,,,,,0.009330127018922194
510,32,0.0038647124893032014,,,,,0.009285836503510562
520,33,0.0020359781265142374,,,,,0.00924024048078213
530,34,0.0006779928226023912,,,,,0.009193352839727121
540,34,0.008663778663806928,,,,,0.009145187862775208
550,35,0.0007834053346111128,1.0,0.07938423475716264,0.9803921568627451,0.9944922547332185,0.00909576022144496
550,35,0.0007834053346111128,,,,,0.00909576022144496
560,35,0.001200246038933983,,,,,0.009045084971874737
570,36,0.0025158721779007464,,,,,0.008993177550236464
580,37,0.0008599898428656161,,,,,0.008940053768033609
590,37,0.001081674126908183,,,,,0.008885729807284855
600,38,0.0006260916343308054,1.0,0.08315069566015154,0.9803921568627451,0.9946643717728055,0.00883022221559489
600,38,0.0006260916343308054,,,,,0.00883022221559489
610,39,0.0005538382683880627,,,,,0.00877354790111386
620,39,0.0006017494451953098,,,,,0.008715724127386972
630,40,0.00120435596909374,,,,,0.008656768508095852
640,40,0.0009475399820075836,,,,,0.008596699001693256
650,41,0.0013919301069108768,1.0,0.0916531088994816,0.9803921568627451,0.9946643717728055,0.008535533905932738
650,41,0.0013919301069108768,,,,,0.008535533905932738
660,42,0.0012303031908231787,,,,,0.008473291852294987
670,42,0.0010016784757941163,,,,,0.008409991800312494
680,43,0.007964361753693083,,,,,0.008345653031794291
690,44,0.0011862636602018028,,,,,0.008280295144952536
700,44,0.001181339997856412,1.0,0.08048343886621297,0.9803921568627451,0.9939759036144578,0.008213938048432696
700,44,0.001181339997856412,,,,,0.008213938048432696
710,45,0.0005982819517763952,,,,,0.008146601955249187
720,45,0.002162943725124933,,,,,0.008078307376628291
730,46,0.0042307249590521675,,,,,0.008009075115760243
740,47,0.0007105670956661925,,,,,0.007938926261462366
750,47,0.0007046805694699287,1.0,0.09070785354124382,0.9738562091503268,0.9944922547332187,0.00786788218175523
750,47,0.0007046805694699287,,,,,0.00786788218175523
760,48,0.003168028462823713,,,,,0.007795964517353734
770,49,0.00035602010029833764,,,,,0.007723195175075136
780,49,0.000389799359254539,,,,,0.007649596321166025
790,50,0.0004959769624595841,,,,,0.007575190374550272
800,50,0.001645386375457747,1.0,0.1025092405383475,0.9803921568627451,0.9951807228915662,0.0075
800,50,0.001645386375457747,,,,,0.0075
810,51,0.0018679093511309475,,,,,0.007424048101231686
820,52,0.00037785834138048813,,,,,0.007347357813929454
830,52,0.0014132052061281034,,,,,0.007269952498697734
840,53,0.000901364935998572,,,,,0.007191855733945388
850,54,0.00033814024936873466,1.0,0.08745980630628765,0.9738562091503268,0.9944922547332187,0.007113091308703498
850,54,0.00033814024936873466,,,,,0.007113091308703498
860,54,0.00039293626347595517,,,,,0.007033683215379002
870,55,0.00285608251094042,,,,,0.006953655642446368
880,55,0.006627655775446328,,,,,0.006873032967079561
890,56,0.020102096881601028,,,,,0.0067918397477265005
900,57,0.0004165624486631714,1.0,0.10623051272705197,0.9803921568627451,0.995697074010327,0.006710100716628344
900,57,0.0004165624486631714,,,,,0.006710100716628344
910,57,0.0003985024294317035,,,,,0.006627840772285783
920,58,0.0003699001536006108,,,,,0.006545084971874737
930,59,0.0003345210279803723,,,,,0.006461858523613684
940,59,0.0003562584691583955,,,,,0.006378186779084995
950,60,0.0004118652335212876,1.0,0.09709395121899433,0.9803921568627451,0.995697074010327,0.006294095225512604
950,60,0.0004118652335212876,,,,,0.006294095225512604
960,60,0.00036430403179110726,,,,,0.0062096094779983384
970,61,0.0005098279216326773,,,,,0.006124755271719326
980,62,0.0003879823889292311,,,,,0.006039558454088796
990,62,0.0012053063058244465,,,,,0.005954044976882724
1000,63,0.000394525322917616,1.0,0.08846779939485713,0.9738562091503268,0.9955249569707401,0.005868240888334653
1000,63,0.000394525322917616,,,,,0.005868240888334653
1010,64,0.00028305381420068443,,,,,0.0057821723252011546
1020,64,0.0003666048542072531,,,,,0.005695865504800327
1030,65,0.0003025356806271399,,,,,0.005609346717025738
1040,65,0.00514533337445755,,,,,0.0055226423163382676
1050,66,0.00047036300820764155,1.0,0.09626322489348241,0.9738562091503268,0.9953528399311532,0.005435778713738292
1050,66,0.00047036300820764155,,,,,0.005435778713738292
1060,67,0.00029595014348160475,,,,,0.005348782368720626
1070,67,0.0003403028801715534,,,,,0.00526167978121472
1080,68,0.0005175890637474367,,,,,0.005174497483512506
1090,69,0.0004416072915773839,,,,,0.005087262032186418
1100,69,0.0012581871499908932,1.0,0.10477745441603474,0.9738562091503268,0.9951807228915662,0.005
1100,69,0.0012581871499908932,,,,,0.005
1110,70,0.0003266503117629327,,,,,0.004912737967813582
1120,70,0.00030272525691543706,,,,,0.004825502516487497
1130,71,0.0007510820432798937,,,,,0.0047383202187852805
1140,72,0.0002580210675660055,,,,,0.004651217631279373
1150,72,0.0002913016131580142,1.0,0.10711526186205447,0.9738562091503268,0.9946643717728054,0.004564221286261709
1150,72,0.0002913016131580142,,,,,0.004564221286261709
1160,73,0.000678012082062196,,,,,0.0044773576836617335
1170,74,0.0002803006791509688,,,,,0.004390653282974263
1180,74,0.0002775883743500647,,,,,0.004304134495199674
1190,75,0.0010131230737897567,,,,,0.004217827674798845
1200,75,0.003704618631672929,0.9959016393442623,0.12141176860313863,0.9738562091503268,0.9951807228915662,0.0041317591116653484
1200,75,0.003704618631672929,,,,,0.0041317591116653484
1210,76,0.00024278932105517014,,,,,0.004045955023117276
1220,77,0.00030058393531362526,,,,,0.003960441545911205
1230,77,0.00026885824211473974,,,,,0.0038752447282806757
1240,78,0.00037138050720386673,,,,,0.003790390522001662
1250,79,0.00020456624770304188,1.0,0.11801373421330937,0.9738562091503268,0.9943201376936316,0.003705904774487396
1250,79,0.00020456624770304188,,,,,0.003705904774487396
1260,79,0.0003551397579334055,,,,,0.0036218132209150044
1270,80,0.00030487282735217985,,,,,0.003538141476386317
1280,80,0.0002878061795854592,,,,,0.003454915028125263
